NAME_1	NAME_2	PRICE_TR	PRICE_EU
5500XT	5500 XT	4500	450
5600XT	5600 XT	5500	550
11296-01-20G	11296-01-20G	5500	550
5700XT	5700 XT	9000	900
11293-01-20G	11293-01-20G	9000	900
3060TI	3060 TI	12000	1200
3070	3070	12000	1200
6900XT	6900 XT	15000	1500
3080	3080	17000	1700
3090	3090	24000	2400
RYZEN	Ryzen	1400	140
